route name,olon,olat,dlon,dlat,country_dep,country_arr
"Indonesia-India, Belawan - Paradip Port",98.6859,3.7769,86.6086,20.3167,Indonesia,India
"Indonesia-India, Belawan - Tuticorin (V.O.C.) Port",98.6859,3.7769,78.1346,8.7691,Indonesia,India
"Indonesia-Japan, Belawan - Yokohama",98.6859,3.7769,139.638,35.4536,Indonesia,Japan
"Indonesia-Japan, Belawan - Tokyo",98.6859,3.7769,139.7639,35.6406,Indonesia,Japan
"Indonesia-Japan, Belawan - Kobe",98.6859,3.7769,135.187,34.678,Indonesia,Japan
"Indonesia-Japan, Belawan - Nagoya",98.6859,3.7769,136.8806,35.0885,Indonesia,Japan
"Indonesia-Japan, Belawan - Osaka",98.6859,3.7769,135.409,34.6431,Indonesia,Japan
"Indonesia-Japan, Belawan - Chiba",98.6859,3.7769,140.0895,35.5959,Indonesia,Japan
"Indonesia-Japan, Belawan - Kitakyushu",98.6859,3.7769,130.8757,33.9056,Indonesia,Japan
"Indonesia-Japan, Belawan - Shimizu",98.6859,3.7769,138.4885,35.0172,Indonesia,Japan
"Indonesia-Japan, Belawan - Hiroshima",98.6859,3.7769,132.4645,34.3647,Indonesia,Japan
"Indonesia-Japan, Belawan - Kagoshima",98.6859,3.7769,130.5512,31.5368,Indonesia,Japan
"Indonesia-Russia, Belawan - Saint-Pétersbourg",98.6859,3.7769,30.3062,59.9339,Indonesia,Russia
"Indonesia-Russia, Belawan - Novorossiysk",98.6859,3.7769,37.7682,44.7244,Indonesia,Russia
"Indonesia-Russia, Belawan - Vladivostok",98.6859,3.7769,131.8747,43.1056,Indonesia,Russia
"Indonesia-Russia, Belawan - Mourmansk",98.6859,3.7769,33.0744,68.9707,Indonesia,Russia
"Indonesia-Russia, Belawan - Arkhangelsk",98.6859,3.7769,40.5433,64.5401,Indonesia,Russia
"Indonesia-Russia, Belawan - Nakhodka",98.6859,3.7769,132.8667,42.7833,Indonesia,Russia
"Indonesia-Russia, Belawan - Oust-Louga",98.6859,3.7769,28.3292,59.6731,Indonesia,Russia
"Indonesia-Russia, Belawan - Primorsk",98.6859,3.7769,28.7389,60.3668,Indonesia,Russia
"Indonesia-Russia, Belawan - Vostochny",98.6859,3.7769,133.0989,42.7278,Indonesia,Russia
"Indonesia-Russia, Belawan - Kaliningrad",98.6859,3.7769,20.5332,54.6981,Indonesia,Russia
"Indonesia-US, Belawan - Los Angeles",98.6859,3.7769,-118.276,33.7326,Indonesia,US
"Indonesia-US, Belawan - Long Beach",98.6859,3.7769,-118.2167,33.7542,Indonesia,US
"Indonesia-US, Belawan - New York & New Jersey",98.6859,3.7769,-74.0413,40.6681,Indonesia,US
"Indonesia-US, Belawan - Savannah",98.6859,3.7769,-81.0912,32.0809,Indonesia,US
"Indonesia-US, Belawan - Houston",98.6859,3.7769,-95.2633,29.739,Indonesia,US
"Indonesia-US, Belawan - Virginia (Norfolk Portsmouth)",98.6859,3.7769,-76.3111,36.8674,Indonesia,US
"Indonesia-US, Belawan - Oakland",98.6859,3.7769,-122.279,37.795,Indonesia,US
"Indonesia-US, Belawan - Charleston",98.6859,3.7769,-79.9256,32.7821,Indonesia,US
"Indonesia-US, Belawan - Seattle/Tacoma",98.6859,3.7769,-122.3408,47.6017,Indonesia,US
"Indonesia-US, Belawan - Miami",98.6859,3.7769,-80.1826,25.7781,Indonesia,US
"Indonesia-Vietnam, Belawan - Cat Lai (Saïgon/HCM)",98.6859,3.7769,106.7722,10.768,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Cai Mep–Thi Vai",98.6859,3.7769,107.03,10.52,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Hai Phong",98.6859,3.7769,106.6833,20.85,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Cam Pha",98.6859,3.7769,107.3,21.0167,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Da Nang",98.6859,3.7769,108.2333,16.0833,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Quy Nhon",98.6859,3.7769,109.2333,13.7667,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Nha Trang",98.6859,3.7769,109.1958,12.25,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Can Tho",98.6859,3.7769,105.7689,10.031,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Vung Tau",98.6859,3.7769,107.085,10.3531,Indonesia,Vietnam
"Indonesia-Vietnam, Belawan - Phu My",98.6859,3.7769,107.0232,10.5087,Indonesia,Vietnam
"Indonesia-South Korea, Belawan - Busan",98.6859,3.7769,129.0403,35.1028,Indonesia,South Korea
"Indonesia-South Korea, Belawan - Gwangyang",98.6859,3.7769,127.7667,34.9167,Indonesia,South Korea
"Indonesia-South Korea, Belawan - Incheon",98.6859,3.7769,126.6166,37.4489,Indonesia,South Korea
"Indonesia-South Korea, Belawan - Mokpo",98.6859,3.7769,126.3886,34.7936,Indonesia,South Korea
"Indonesia-South Korea, Belawan - Ulsan",98.6859,3.7769,129.3722,35.5194,Indonesia,South Korea
